Area Code,Area Name,,,Violence against the person,Homicide,Violence with injury,Violence without injury,Stalking and harassment,Death or serious injury - unlawful driving,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,Other theft offences,Criminal damage and arson,,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes
E12000008,South East,716588,,246779,64,79238,111539,55787,151,25113,6626,252688,48681,33435,15246,57429,7367,14770,51607,72834,83760,,18625,6816,60839,15342
E23000030,Hampshire,158924,,56038,10,21264,24082,10661,21,5564,1347,54407,11607,7728,3879,11828,1255,3769,12584,13364,18483,,3895,1708,14878,2604
E23000032,Kent,199963,,79839,19,20728,36918,22112,62,7159,1988,58059,12013,8642,3371,13159,1162,1777,12955,16993,22598,,3059,1361,20490,5410
E23000031,Surrey,76489,,23242,5,7299,10551,5366,21,2393,485,28011,6053,4577,1476,6487,594,1242,4465,9170,9680,,2992,592,7511,1583
E23000033,Sussex,117697,,39339,15,14120,17400,7790,14,4458,1185,40316,7195,4399,2796,8631,1591,2360,7884,12655,14061,,3658,1691,10587,2402
E23000029,Thames Valley,163515,,48321,15,15827,22588,9858,33,5539,1621,71895,11813,8089,3724,17324,2765,5622,13719,20652,18938,,5021,1464,7373,3343
E12000009,South West,376894,,127511,48,46038,49419,31955,51,13474,3148,133981,27408,16596,10812,26762,3281,7593,30097,38840,47276,,10787,2747,32018,5952
E23000036,Avon and Somerset8,136761,,42995,15,12954,17992,12031,3,4244,1498,49801,10092,6687,3405,10530,1206,3491,10791,13691,15290,,2816,830,17405,1882
E23000035,Devon and Cornwall,107439,,41596,19,15930,15219,10395,33,4540,617,31268,5738,2559,3179,5645,836,945,7604,10500,14834,,4180,986,7185,2233
E23000039,Dorset,54355,,18863,4,6344,7924,4581,10,1980,383,20458,4225,2356,1869,4005,519,1284,4015,6410,6901,,1604,325,3181,660
E23000037,Gloucestershire,35093,,9576,8,5022,2292,2251,3,1065,336,16407,4224,3033,1191,3830,361,1011,3219,3762,4517,,1036,265,1456,435
E23000038,Wiltshire,43246,,14481,2,5788,5992,2697,2,1645,314,16047,3129,1961,1168,2752,359,862,4468,4477,5734,,1151,341,2791,742
W92000004,WALES,257857,,92612,23,28420,34426,29714,29,8730,1110,78949,15696,10662,5034,14475,1766,3208,20584,23220,33921,,8974,1461,26674,5426
W15000004,Dyfed-Powys,27915,,10692,4,3147,4464,3075,2,977,69,7773,1541,1016,525,958,84,168,1936,3086,4000,,1880,204,1705,615
W15000002,Gwent,58536,,20039,3,5834,7397,6798,7,1567,301,16219,3697,2533,1164,3402,372,424,3547,4777,9427,,1469,237,7883,1394
W15000001,North Wales,59802,,24838,5,7161,10503,7164,5,2723,218,16032,3718,2557,1161,2165,213,556,4341,5039,7559,,1369,324,5435,1304
W15000003,South Wales,111604,,37043,11,12278,12062,12677,15,3463,522,38925,6740,4556,2184,7950,1097,2060,10760,10318,12935,,4256,696,11651,2113
,British Transport Police,66613,,12168,6,3289,8600,273,0,1905,705,28754,554,2,552,1331,7541,6426,2921,9981,6951,,2305,1126,11861,838
