Area Code,Area Name,,,Violence against the person,Homicide,Violence with injury,Violence without injury,Stalking and harassment,Death or serious injury - unlawful driving,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,Other theft offences,Criminal damage and arson,,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes
E12000008,South East,672257,,209901,87,74611,99378,35716,109,23000,5322,259586,51853,35269,16584,54404,8195,17171,55527,72436,85168,,16881,5693,52605,14101
E23000030,Hampshire,159541,,52834,19,21121,23874,7798,22,5519,1141,57888,12153,8058,4095,13017,1316,4120,13770,13512,19155,,3686,1443,14957,2918
E23000032,Kent,177187,,66132,14,19625,33002,13446,45,6468,1577,56336,12008,8434,3574,12578,1121,2026,12178,16425,22704,,2701,1087,15486,4696
E23000031,Surrey,72853,,21432,6,7129,9899,4388,10,2126,352,27214,6472,4949,1523,5860,519,1396,4293,8674,9604,,2476,555,7472,1622
E23000033,Sussex,112826,,35021,30,13176,15658,6147,10,4066,919,41834,8133,5012,3121,7544,1609,2747,8531,13270,14098,,3175,1373,9960,2380
E23000029,Thames Valley,149850,,34482,18,13560,16945,3937,22,4821,1333,76314,13087,8816,4271,15405,3630,6882,16755,20555,19607,,4843,1235,4730,2485
E12000009,South West,367545,,113736,36,42741,46108,24786,65,12822,2781,140968,30132,19013,11119,29730,3329,7289,31148,39340,48406,,10215,2278,30357,5982
E23000036,Avon and Somerset,137455,,40459,13,12075,17185,11184,2,4072,1359,52634,11249,8009,3240,12016,1077,3338,11217,13737,15974,,2890,678,17605,1784
E23000035,Devon and Cornwall,103656,,36945,15,14352,14560,7975,43,4489,524,32864,6129,2744,3385,5903,965,889,8012,10966,15092,,3754,833,6981,2174
E23000039,Dorset,49115,,14852,3,5833,6541,2465,10,1583,288,20916,4740,2805,1935,3787,520,1365,4147,6357,6843,,1548,274,2039,772
E23000037,Gloucestershire,33716,,8320,3,4845,2215,1249,8,997,319,16718,3932,2668,1264,4220,370,785,3576,3835,4401,,1018,212,1269,462
E23000038,Wiltshire,43603,,13160,2,5636,5607,1913,2,1681,291,17836,4082,2787,1295,3804,397,912,4196,4445,6096,,1005,281,2463,790
W92000004,WALES,230929,,74715,35,26570,28760,19316,34,8541,980,79212,16582,11289,5293,14844,1939,3035,20165,22647,33685,,8123,1213,19295,5165
W15000004,Dyfed-Powys,25742,,9042,4,3073,3738,2226,1,1054,38,7732,1673,1026,647,896,82,176,1846,3059,4191,,1775,142,1246,522
W15000002,Gwent,48823,,14738,7,4854,6190,3683,4,1317,257,16291,3741,2620,1121,3351,350,310,3888,4651,8692,,1369,208,4753,1198
W15000001,North Wales,51505,,19071,12,6894,8432,3724,9,2990,195,15654,3680,2484,1196,2031,280,524,4141,4998,7631,,1417,269,3019,1259
W15000003,South Wales,104859,,31864,12,11749,10400,9683,20,3180,490,39535,7488,5159,2329,8566,1227,2025,10290,9939,13171,,3562,594,10277,2186
,British Transport Police,59785,,10803,5,2928,7717,153,0,1822,543,25537,518,3,515,1173,5544,6250,2638,9414,7160,,1516,624,10895,885
